395	Bunyan
396	Stockton
397	Milton
398	Platt
399	Alger
400	Teasdale
401	Norris
402	Tarkington
403	Davis
404	Smiles
405	Davis
406	Various
407	Davis
408	Du Bois
409	Wheatley
410	Fox
411	Davis
412	Hubbard
413	Stevenson
414	Jefferies
415	Borrow
416	Anderson
417	Luther
418	Luther
419	Baum
420	Baum
421	Stevenson
422	Borrow
423	Doyle
424	Lindsay
425	Stevenson
426	Stevenson
427	Stockton
428	Hope
429	Stockton
430	Phillips
431	Phillips
432	James
433	Phillips
434	Rinehart
435	Houdini
436	Baum
437	Anonymous; Luna
438	Stevenson
439	Doyle
440	Porter
441	Stevenson
442	Teasdale
443	Field
444	Proudhon
445	Le Bon
446	Irving
447	Crane
448	Le Bon
449	Healy
450	Phillips
451	Conrad
452	Borrow
453	Ferber
454	Leland
455	Parlette
456	Wells
457	Phillips
458	Marquis
459	Burnett
460	Burnett
461	Le Gallienne
462	Alger
463	Crane
464	Stevenson
465	White
466	Steinmetz
467	La Fayette
468	Prévost
469	Balzac
470	Chesterton
471	Scott
472	Chesnutt
473	Bryant
474	Bryant
475	Booth
476	Nasmyth
477	Ferri
478	Phillips
479	Burnett
480	Hutsko
481	Michelson
482	Hardy
483	Tarkington
484	Optic
485	Baum
486	Baum
487	Stevenson
488	MacClure
489	Ferber
490	Calamity Jane
491	Atherton
492	Stevenson
493	Conrad
494	Conrad
495	Conrad
496	Craik
497	Coke
498	Wiggin
499	Appleton
500	Collodi
501	Lofting
502	Grey
503	Lang
504	Sousa
505	White
506	Burnett
507	Eliot
508	Hawthorne
509	Le Fanu
510	Le Fanu
511	Le Fanu
512	Hawthorne
513	Hawthorne
514	Alcott
515	Davis
516	Stevenson
517	Baum
518	Baum
519	Baum
520	Baum
521	Defoe
522	Headland
523	Headland
524	Wells
525	Conrad
526	Conrad
527	Conrad
528	Alger
529	Steedman
530	Alger
531	Steinmetz
532	Stratton-Porter
533	Stratton-Porter
534	Stevenson
535	Stevenson
536	Stevenson
537	Doyle
538	Bower
539	Tuckwell
540	Lang
541	Wharton
542	Johnson
543	Lewis
544	Montgomery
545	Burroughs
546	Stout
547	Gaboriau
548	Maag
549	Azuela
550	Eliot
551	Burroughs
552	Burroughs
553	Burroughs
554	Tyler
555	Saki
556	Kipling
557	Kipling
558	Buchan
559	Buchan
560	Buchan
561	Defoe
562	Kay
563	Kennon
564	Dickens
565	Borrow
